,Unnamed: 0,geoid,Population Density (Per Sq. Mile),Total Population: Less than 25 Years,Total Population: White Alone,Population 25 Years and Over: Bachelor's Degree or More,Population 16 Years and Over: in Labor Force: Civilian: Employed,Population 16 Years and Over: in Labor Force: Civilian: Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units: No Vehicle Available,Renter-Occupied Housing Units: 1 Vehicle Available,Renter-Occupied Housing Units: 2 Vehicles Available,Renter-Occupied Housing Units: 3 Vehicles Available,pct_disability
0,0,6097150202,396.4606,0.18124619443880657,0.8376293890805764,0.44496777392166587,0.8957609451007644,0.10423905489923559,94280.0,0.0,0.46116504854368934,0.3604368932038835,0.13592233009708737,0.145791246
1,1,6097150203,2618.407,0.20434115325586494,0.8921289190966893,0.3863323229539818,0.975462962962963,0.024537037037037038,71875.0,0.3201634877384196,0.4100817438692098,0.22070844686648503,0.04904632152588556,0.191855204
2,2,6097150204,3490.242,0.22625928984310487,0.9223781998348473,0.4838135894699395,0.9578686493184635,0.042131350681536554,83648.0,0.0689149560117302,0.6217008797653959,0.25806451612903225,0.03812316715542522,0.042692939
3,3,6097150303,189.7113,0.11862897841086134,0.9140885822390385,0.49242424242424243,0.9401389631213255,0.05986103687867451,81827.0,0.0,0.6294416243654822,0.1065989847715736,0.17766497461928935,0.081326913
4,4,6097150304,4708.132,0.2802139037433155,0.8213903743315508,0.41579990094105995,0.9527134243097429,0.047286575690257064,105253.0,0.0,0.2804532577903683,0.4773371104815864,0.12889518413597734,0.110843373
5,5,6097150305,4923.751,0.43506388484554426,0.4732330583858968,0.19381620383624393,0.9916237113402062,0.008376288659793814,66510.0,0.012922465208747515,0.40457256461232605,0.3081510934393638,0.21669980119284293,0.098114239
6,6,6097150306,858.5634,0.24,0.7633136094674556,0.31236374961071317,0.9661500815660685,0.03384991843393149,68180.0,0.042042042042042045,0.2987987987987988,0.5045045045045045,0.15465465465465467,0.054644809
7,7,6097150902,3640.789,0.2693543675138767,0.8773006134969326,0.5593762495001999,0.9823261117445838,0.01767388825541619,107740.0,0.09290953545232274,0.5501222493887531,0.2176039119804401,0.1393643031784841,0.071599045
8,8,6097150500,120.0733,0.2314930991217064,0.8358427436219155,0.5616326530612245,0.9864235841737781,0.013576415826221877,117167.0,0.0,0.3920335429769392,0.27253668763102723,0.23270440251572327,0.091080166
9,9,6097150601,9175.92,0.31543167912984366,0.6566961250849762,0.23204237007613374,0.9706293706293706,0.02937062937062937,90114.0,0.07228915662650602,0.1897590361445783,0.5632530120481928,0.1746987951807229,0.094440213
10,10,6097150602,6623.416,0.2851791149613674,0.8368063685319598,0.30003275466754015,0.965587873822204,0.03441212617779599,90556.0,0.0,0.0673076923076923,0.49038461538461536,0.20192307692307693,0.024662813
11,11,6097150603,5749.299,0.23742036146144846,0.7421661682486023,0.2547314578005115,0.9544790652385589,0.04552093476144109,77690.0,0.20604182804027885,0.4539116963594113,0.16343919442292795,0.10844306738962045,0.046390635
12,12,6097150607,1201.163,0.3556851311953353,0.7755102040816326,0.44404223227752637,0.9504132231404959,0.049586776859504134,124643.0,0.02313624678663239,0.2442159383033419,0.37017994858611825,0.2622107969151671,0.02642901
13,13,6097150609,5666.022,0.26922312735942777,0.7941585535465925,0.3289831430125068,0.9645904436860068,0.035409556313993173,78160.0,0.10776545166402536,0.34548335974643424,0.40253565768621236,0.14421553090332806,0.10718232
14,14,6097150610,7644.566,0.30278684408737133,0.7481797639969872,0.4386028087864602,0.9613081529249194,0.03869184707508061,111429.0,0.0,0.04247104247104247,0.8803088803088803,0.07722007722007722,0.074536664
15,15,6097150611,3634.731,0.3330118157704365,0.731613214371835,0.44866232827187275,0.9786610878661088,0.021338912133891212,99722.0,0.09763779527559055,0.2992125984251969,0.5039370078740157,0.07716535433070866,0.066538462
16,16,6097152000,4032.78,0.23787878787878788,0.7156565656565657,0.3790589794565938,0.9557589626239512,0.04424103737604882,49856.0,0.12389380530973451,0.5088495575221239,0.3108407079646018,0.015486725663716814,0.162235855
17,17,6097150612,69.78616,0.2957656116338751,0.878956372968349,0.46310355299119343,0.9607446377984622,0.03925536220153784,109028.0,0.0641025641025641,0.34775641025641024,0.3541666666666667,0.16987179487179488,0.099415205
