name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
sonoma,2019-10-17T00:00:00,57.7,57.7,56.1,94.48,0,0,,0,0,,4.1,289,1011,95.8,8.8,0,,0,,Overcast,cloudy,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T01:00:00,58.6,58.6,56.6,93.25,0,0,,0,0,,4.1,310,1011.1,75.2,9.9,281,1,0,,Partially cloudy,partly-cloudy-night,"72495723213,KDVO,KO69,72040600135,72495593227,FRTWW,KAPC"
sonoma,2019-10-17T02:00:00,58,58,56.2,93.45,0,0,,0,0,,8.3,286,1010.9,82.9,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T03:00:00,58.4,58.4,56,91.67,0,0,,0,0,,4.8,280,1011.2,86.4,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T04:00:00,58.1,58.1,55.4,90.8,0,0,,0,0,12.8,8.7,272,1011,53.7,9.6,0,,0,,Partially cloudy,partly-cloudy-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T05:00:00,58.1,58.1,53.9,85.94,0,0,,0,0,21.9,10.2,281,1011.1,61.1,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T06:00:00,56,56,50.6,82.13,0,0,,0,0,19.7,9.8,275,1011.3,30,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T07:00:00,53.9,53.9,49.7,85.57,0,0,,0,0,12.8,8,288,1012.1,0,9.9,6.3,0,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T08:00:00,54.2,54.2,48.5,81.2,0,0,,0,0,,9.3,279,1012.3,1.8,9.9,32,0.1,0,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T09:00:00,57.6,57.6,48.6,72.04,0,0,,0,0,25.3,5.3,339,1013.2,1.1,9.9,61,0.2,1,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T10:00:00,60.7,60.7,47.1,60.85,0,0,,0,0,26.4,9.9,315,1014,1.1,9.9,276,1,3,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T11:00:00,65,65,45.8,49.77,0,0,,0,0,17.6,9.5,323,1014.3,1.1,9.9,480,1.7,5,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T12:00:00,68.5,68.5,41.7,37.68,0,0,,0,0,20.4,9.9,306,1014.1,1.8,9.9,639,2.3,6,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T13:00:00,70.8,70.8,42,35.22,0,0,,0,0,21.5,8.7,345,1013.7,1.8,9.9,682,2.5,7,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T14:00:00,71.6,71.6,42.8,35.48,0,0,,0,0,25.3,16.6,269,1012.8,1.1,9.9,673,2.4,7,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T15:00:00,70.7,70.7,43.8,37.96,0,0,,0,0,28.9,16.2,275,1012.7,1.8,9.9,601,2.2,6,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T16:00:00,67.7,67.7,46.7,46.87,0,0,,0,0,30.3,21.2,271,1012.7,1.8,9.9,471,1.7,5,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T17:00:00,66.2,66.2,46.9,49.88,0,0,,0,0,26.7,18.2,264,1012.6,0,9.9,308,1.1,3,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T18:00:00,63.5,63.5,47.8,56.69,0,0,,0,0,23,16.5,270,1012.7,0,9.9,130,0.5,1,,Clear,clear-day,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T19:00:00,60.9,60.9,47.5,61.32,0,0,,0,0,27.7,14,284,1013.3,0,9.9,11,0,0,,Clear,clear-night,"72495723213,KDVO,LEVWW,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T20:00:00,58.7,58.7,47.9,67.36,0,0,,0,0,25.3,9.2,309,1014.1,0,9.9,844,3,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,FRTWW,KAPC"
sonoma,2019-10-17T21:00:00,56.7,56.7,46,67.49,0,0,,0,0,11.4,9.1,304,1014.1,0,9.9,0,,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T22:00:00,56.5,56.5,45.2,65.68,0,0,,0,0,26.4,11,305,1014.6,0,9.9,0,,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-17T23:00:00,55.8,55.8,45.2,67.6,0,0,,0,0,23,9.7,284,1015.3,0,9.9,0,,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-18T00:00:00,54.1,54.1,44.8,70.77,0,0,,0,0,17.2,7.5,340,1015.6,0,9.9,0,,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
sonoma,2019-10-18T01:00:00,52.5,52.5,44,72.73,0,0,,0,0,20.8,9,302,1015.8,0,9.9,281,1,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,FRTWW,KAPC"
sonoma,2019-10-18T02:00:00,51,51,42.5,72.59,0,0,,0,0,18.3,5.9,318,1016,0,9.9,0,,0,,Clear,clear-night,"72495723213,KDVO,KO69,72040600135,72495593227,KAPC"
